commitID_1,commitID_2,filename,#line_changed
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../openjpa/jdbc/sql/SQLServerDictionary.java,7
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../apache/openjpa/jdbc/sql/SybaseDictionary.java,5
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../org/apache/openjpa/conf/Specification.java,3
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../openjpa/enhance/InstrumentationFactory.java,3
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../apache/openjpa/lib/conf/ConfigurationImpl.java,3
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../openjpa/lib/identifier/IdentifierUtilImpl.java,3
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../org/apache/openjpa/lib/util/JavaVendors.java,3
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../openjpa/persistence/embed/TestEmbeddable.java,3
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../apache/openjpa/persistence/JPAProperties.java,11
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../openjpa/persistence/MixedLockLevelsHelper.java,3
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../persistence/PersistenceMetaDataDefaults.java,5
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../persistence/PersistenceProductDerivation.java,7
4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,bdc1da942339f4df4334270cc1e2bba6b29f14d5,.../openjpa/persistence/util/ReservedWords.java,3
701a4e7d2715b844f3b522400eee2024b1aac049,4068d5ccb29f65d9a09daebcd232b7c8c1a2ed5a,.../java/org/apache/openjpa/enhance/InstrumentationFactory.java,6
3d905e17a7015b2342036af8bd378a0102b848f5,701a4e7d2715b844f3b522400eee2024b1aac049,.../org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java,4
6b8d4b9bcdc8b6b4fcbcf6c2adcea2924322fcda,3d905e17a7015b2342036af8bd378a0102b848f5,openjpalib/pom.xml,3
be71987b9c7f14af11718351a883582843eaa4ae,6b8d4b9bcdc8b6b4fcbcf6c2adcea2924322fcda,openjpaall/pom.xml,12
be71987b9c7f14af11718351a883582843eaa4ae,6b8d4b9bcdc8b6b4fcbcf6c2adcea2924322fcda,openjpaproject/NOTICE,1
be71987b9c7f14af11718351a883582843eaa4ae,6b8d4b9bcdc8b6b4fcbcf6c2adcea2924322fcda,openjpaproject/assembly.xml,1
be71987b9c7f14af11718351a883582843eaa4ae,6b8d4b9bcdc8b6b4fcbcf6c2adcea2924322fcda,openjpaproject/binassembly.xml,1
be71987b9c7f14af11718351a883582843eaa4ae,6b8d4b9bcdc8b6b4fcbcf6c2adcea2924322fcda,openjpaproject/pom.xml,4
a99daf8f47ed77072d506ede1730b4a16a9c93e6,be71987b9c7f14af11718351a883582843eaa4ae,.../java/org/apache/openjpa/lib/conf/ConfigurationImpl.java,11
fe7659fb0112e0e40e1fef9256297df893430361,a99daf8f47ed77072d506ede1730b4a16a9c93e6,openjpaproject/src/doc/manual/ref_guide_dbsetup.xml,14
88a998eced2d4dc9356795fe62c245aaf1e0c1aa,fe7659fb0112e0e40e1fef9256297df893430361,openjpaproject/src/doc/manual/manual.xml,4
e0c03c5fc9bfb988d40b47e5477e30f83307fc2,88a998eced2d4dc9356795fe62c245aaf1e0c1aa,openjpafeatures/pom.xml,74
e0c03c5fc9bfb988d40b47e5477e30f83307fc2,88a998eced2d4dc9356795fe62c245aaf1e0c1aa,openjpafeatures/src/main/feature/feature.xml,35
e0c03c5fc9bfb988d40b47e5477e30f83307fc2,88a998eced2d4dc9356795fe62c245aaf1e0c1aa,openjpa/pom.xml,2
19a59684f05c41d79f75714193b5e65bd698f1b7,e0c03c5fc9bfb988d40b47e5477e30f83307fc2,.../persistence/EntityManagerFactoryImpl.java,37
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,openjpaall/pom.xml,9
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,openjpaintegration/validation/pom.xml,4
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,openjpalib/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,openjpapersistence/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,openjpaproject/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,openjpatools/openjpamavenplugin/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,.../openjpamavenplugin/src/it/default_settings/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,.../openjpamavenplugin/src/it/dependingArtifact/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,.../openjpamavenplugin/src/it/enhanceIncludesExcludes/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,.../openjpamavenplugin/src/it/nonDefaultPersistenceXml/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,.../openjpamavenplugin/src/it/sqlActionDropSchema/pom.xml,2
5cf5442d199c97fa6a4f57aef545777f3aa37bc0,19a59684f05c41d79f75714193b5e65bd698f1b7,.../openjpamavenplugin/src/it/testDependencies/pom.xml,2
8d208ebdbe44e3c04f8aad17bbdc83a6acf40b91,5cf5442d199c97fa6a4f57aef545777f3aa37bc0,openjpaexamples/imagegallery/pom.xml,2
8d208ebdbe44e3c04f8aad17bbdc83a6acf40b91,5cf5442d199c97fa6a4f57aef545777f3aa37bc0,openjpaintegration/jmx/pom.xml,2
8d208ebdbe44e3c04f8aad17bbdc83a6acf40b91,5cf5442d199c97fa6a4f57aef545777f3aa37bc0,openjpaproject/pom.xml,16
02330ad212bb9b739901a68b42a4c440ea7a1b13,8d208ebdbe44e3c04f8aad17bbdc83a6acf40b91,.../main/java/org/apache/openjpa/lib/util/TemporaryClassLoader.java,6
9cacf08c7a33302ff2729299f1a84c988db31c80,02330ad212bb9b739901a68b42a4c440ea7a1b13,.../java/jpa/tools/swing/ConfigurationViewer.java,2
9cacf08c7a33302ff2729299f1a84c988db31c80,02330ad212bb9b739901a68b42a4c440ea7a1b13,.../src/main/java/openbook/util/Randomizer.java,2
9cacf08c7a33302ff2729299f1a84c988db31c80,02330ad212bb9b739901a68b42a4c440ea7a1b13,.../org/apache/openjpa/jdbc/sql/DB2Dictionary.java,2
9cacf08c7a33302ff2729299f1a84c988db31c80,02330ad212bb9b739901a68b42a4c440ea7a1b13,.../apache/openjpa/lib/util/J2DoPrivHelper.java,126
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,4
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,1
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../src/main/java/org/apache/openjpa/jdbc/meta/VersionStrategy.java,2
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../apache/openjpa/jdbc/meta/strats/InValueDiscriminatorStrategy.java,2
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../main/java/org/apache/openjpa/datacache/AbstractQueryCache.java,3
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../src/main/java/org/apache/openjpa/datacache/QueryKey.java,2
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../apache/openjpa/datacache/TypeBasedCacheDistributionPolicy.java,1
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,2
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,1
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java,1
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../main/java/org/apache/openjpa/meta/AbstractMetaDataFactory.java,1
f0286a268e1d3d1b97c361fe2bad743b8064094a,9cacf08c7a33302ff2729299f1a84c988db31c80,.../src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,2
