,filename,SUM #line_changed
5845,.../org/apache/openjpa/jdbc/meta/FieldMapping.java,1742.0
417,.../apache/openjpa/jdbc/sql/OracleDictionary.java,1738.0
10550,openjpaproject/pom.xml,1726.0
3788,.../main/java/serp/bytecode/MethodInstruction.java,1722.0
3305,.../lib/jdbc/JDBCEventConnectionDecorator.java,1690.0
671,.../apache/openjpa/persistence/criteria/Joins.java,1678.0
13,.../AnnotationPersistenceMetaDataSerializer.java,1665.0
7502,.../persistence/jdbc/order/TestOrderColumn.java,1658.0
7707,.../persistence/lockmgr/LockManagerTestBase.java,1646.0
4353,.../openjpa/jdbc/schema/SchemaGenerator.java,1631.0
130,.../XMLPersistenceMetaDataSerializer.java,1622.0
5851,.../org/apache/openjpa/jdbc/meta/MappingTool.java,1600.0
5926,.../org/apache/openjpa/jdbc/sql/SQLBuffer.java,1581.0
10140,openjpaintegration/tck/pom.xml,1575.0
4546,.../openjpa/persistence/OpenJPAEntityManager.java,1574.0
2681,.../java/serp/bytecode/lowlevel/ConstantPool.java,1574.0
6604,.../org/apache/openjpa/persistence/ormxsd.rsrc,1561.0
1312,.../concurrent/ConcurrentReferenceHashMap.java,1559.0
8334,.../src/doc/manual/ref_guide_remote.xml,1545.0
5840,.../org/apache/openjpa/jdbc/meta/ClassMapping.java,1544.0
3330,.../lib/util/concurrent/ConcurrentLinkedQueue.java,1502.0
4514,.../openjpa/meta/AbstractCFMetaDataFactory.java,1497.0
4215,.../openjpa/jdbc/conf/JDBCConfigurationImpl.java,1484.0
8307,.../src/doc/manual/img/joinsconstant.graffle,1473.0
519,.../apache/openjpa/lib/meta/CFMetaDataParser.java,1463.0
4470,.../openjpa/lib/meta/XMLMetaDataSerializer.java,1457.0
5566,.../openjpa/slice/jdbc/DistributedResultSet.java,1442.0
6773,.../persistence/PersistenceMetaDataDefaults.java,1409.0
6917,.../persistence/common/utils/AbstractTestCase.java,1401.0
2015,.../java/org/apache/openjpa/kernel/Filters.java,1398.0
5918,.../org/apache/openjpa/jdbc/sql/LogicalUnion.java,1382.0
5716,.../org/apache/openjpa/enhance/Reflection.java,1367.0
10536,openjpapersistencelocking/pom.xml,1367.0
6076,.../org/apache/openjpa/lib/log/LogFactoryImpl.java,1356.0
6095,.../org/apache/openjpa/lib/util/JavaVersions.java,1349.0
331,.../apache/openjpa/jdbc/kernel/TableJDBCSeq.java,1341.0
2695,.../jdbc/DistributedJDBCConfigurationImpl.java,1337.0
4162,.../openjpa/event/TCPRemoteCommitProvider.java,1323.0
3927,.../meta/strats/StoreCollectionFieldStrategy.java,1315.0
6763,.../persistence/EntityManagerFactoryImpl.java,1296.0
5888,.../org/apache/openjpa/jdbc/schema/Column.java,1291.0
4460,.../openjpa/lib/jdbc/DelegatingStatement.java,1284.0
2134,.../java/org/apache/openjpa/lib/util/Files.java,1272.0
268,.../apache/openjpa/enhance/PCDataGenerator.java,1267.0
4688,.../openjpa/persistence/criteria/CriteriaTest.java,1258.0
1731,.../integration/daytrader/TradeJPADirect.java,1257.0
542,.../apache/openjpa/lib/util/MultiClassLoader.java,1246.0
6780,.../persistence/StoredProcedureQueryImpl.java,1245.0
1958,.../java/org/apache/openjpa/jdbc/schema/Table.java,1242.0
4371,.../openjpa/jdbc/sql/PostgresDictionary.java,1239.0
461,.../apache/openjpa/kernel/SingleFieldManager.java,1234.0
3340,.../lock/extended/Test1xmLockScope.java,1226.0
3341,.../lock/extended/TestBasicLockScope.java,1225.0
6803,.../persistence/access/TestExplicitAccess.java,1220.0
555,.../apache/openjpa/lib/util/TypedProperties.java,1220.0
8331,.../src/doc/manual/ref_guide_logging.xml,1218.0
4388,.../openjpa/kernel/ExpressionStoreQuery.java,1216.0
4549,.../openjpa/persistence/OpenJPAPersistence.java,1194.0
4386,.../openjpa/kernel/DetachedStateManager.java,1194.0
5947,.../org/apache/openjpa/kernel/DelegatingQuery.java,1184.0
2663,.../java/serp/bytecode/ConstantInstruction.java,1180.0
5531,.../openjpa/persistence/util/SourceCode.java,1173.0
7937,.../persistence/query/TestQueryTimeout.java,1160.0
6072,.../org/apache/openjpa/lib/jdbc/SQLFormatter.java,1152.0
8323,.../src/doc/manual/jpa_overview_why.xml,1149.0
7184,.../persistence/entityoperation/TestCascades.java,1148.0
6493,.../org/apache/openjpa/persistence/jest/jest.js,1148.0
10545,openjpaproject/RELEASENOTES.html,1146.0
7708,.../persistence/lockmgr/SequencedActionsTest.java,1145.0
4294,.../openjpa/jdbc/meta/MappingDefaultsImpl.java,1136.0
1980,.../java/org/apache/openjpa/jdbc/sql/RowImpl.java,1126.0
6096,.../org/apache/openjpa/lib/util/Localizer.java,1125.0
8250,.../serp/bytecode/visitor/PrettyPrintVisitor.java,1124.0
3339,.../lock/extended/Test1x1LockScope.java,1121.0
6120,.../org/apache/openjpa/lib/xml/DocTypeReader.java,1120.0
5949,.../org/apache/openjpa/kernel/DetachManager.java,1118.0
6941,.../persistence/criteria/CriteriaBuilder.java,1113.0
3362,.../main/appendedresources/METAINF/LICENSE.vm,1112.0
5620,.../openjpa/xmlstore/simple/AllFieldTypes.java,1104.0
5893,.../org/apache/openjpa/jdbc/schema/ForeignKey.java,1100.0
10593,openjpaproject/src/doc/manual/ref_guide_slice.xml,1096.0
3780,.../main/java/serp/bytecode/FieldInstruction.java,1088.0
4110,.../openjpa/datacache/QueryCacheStoreQuery.java,1083.0
10649,serp/src/main/java/serp/bytecode/BCMethod.java,1082.0
7721,.../persistence/meta/AbstractManagedType.java,1073.0
4504,.../openjpa/lib/util/concurrent/Condition.java,1060.0
6162,.../org/apache/openjpa/persistence/FetchPlan.java,1059.0
6711,.../org/apache/openjpa/util/ApplicationIds.java,1048.0
563,.../apache/openjpa/lib/util/concurrent/Utils.java,1046.0
405,.../apache/openjpa/jdbc/sql/AbstractResult.java,1039.0
10655,serp/src/main/java/serp/bytecode/InnerClass.java,1032.0
10541,openjpaproject/LICENSE.txt,1029.0
4434,.../openjpa/lib/conf/ProductDerivations.java,1028.0
8330,.../src/doc/manual/ref_guide_integration.xml,1022.0
426,.../apache/openjpa/jdbc/sql/StoredProcedure.java,1016.0
6761,.../persistence/ConfigurationProviderImpl.java,1008.0
1983,.../java/org/apache/openjpa/jdbc/sql/Select.java,1007.0
6702,.../org/apache/openjpa/tools/action/Actions.java,1007.0
4094,.../openjpa/datacache/AbstractDataCache.java,1000.0
495,.../apache/openjpa/lib/conf/PluginListValue.java,999.0
10663,serp/src/main/java/serp/bytecode/Project.java,998.0
6045,.../org/apache/openjpa/lib/conf/Configuration.java,996.0
7646,.../persistence/kernel/TestTransition2.java,994.0
543,.../apache/openjpa/lib/util/ParameterTemplate.java,993.0
4220,.../openjpa/jdbc/identifier/DBIdentifier.java,989.0
10073,openjpaall/pom.xml,989.0
1308,.../compat/TestSpecCompatibilityOptions.java,982.0
7631,.../persistence/kernel/TestManagedInterfaces.java,980.0
1322,.../criteria/CriteriaExpressionBuilder.java,980.0
2001,.../java/org/apache/openjpa/kernel/Broker.java,978.0
8290,.../slice/jdbc/DistributedStoreManager.java,972.0
3172,.../kernel/DelegatingFetchConfiguration.java,966.0
10669,serp/src/main/java/serp/util/Strings.java,966.0
4515,.../openjpa/meta/AbstractMetaDataDefaults.java,959.0
3797,.../main/java/serp/bytecode/WideInstruction.java,950.0
8301,.../src/doc/manual/img/appidhierarchy.graffle,949.0
4739,.../openjpa/persistence/criteria/TestCriteria.java,947.0
1747,.../integration/validation/TestConstraints.java,947.0
464,.../apache/openjpa/kernel/TestQuerySQLCache.java,942.0
3314,.../lib/rop/MergedResultObjectProvider.java,940.0
4158,.../openjpa/event/LifecycleEventManager.java,937.0
4392,.../openjpa/kernel/ObjectIdStateManager.java,934.0
2664,.../java/serp/bytecode/ConvertInstruction.java,932.0
4478,.../openjpa/lib/rop/RandomAccessResultList.java,932.0
2865,.../jdbc/kernel/exps/JDBCExpressionFactory.java,924.0
3286,.../kernel/exps/InMemoryExpressionFactory.java,919.0
10148,openjpaintegration/validation/pom.xml,918.0
4185,.../openjpa/integration/daytrader/TradeConfig.java,917.0
67,.../TestContainerSpecCompatibilityOptions.java,914.0
3801,.../main/java/serp/bytecode/visitor/BCVisitor.java,911.0
1729,.../integration/daytrader/TestDaytrader.java,909.0
8386,.../src/main/java/openbook/client/Demo.java,906.0
6970,.../persistence/criteria/TestSubqueries.java,905.0
5663,.../org/apache/openjpa/conf/Compatibility.java,904.0
8315,.../src/doc/manual/jpa_overview_emfactory.xml,895.0
599,.../apache/openjpa/persistence/HintHandler.java,895.0
4127,.../openjpa/enhance/InstrumentationFactory.java,893.0
3333,.../lib/util/concurrent/CopyOnWriteArraySet.java,892.0
2978,.../jdbc/meta/TestEagerOuterToManyJoins.java,883.0
516,.../apache/openjpa/lib/log/MultiLogFactory.java,880.0
9770,.../util/concurrent/NullSafeConcurrentHashMap.java,879.0
10648,serp/src/main/java/serp/bytecode/BCMember.java,874.0
2141,.../java/org/apache/openjpa/lib/util/Services.java,873.0
5364,.../openjpa/persistence/proxy/TestDetachMerge.java,871.0
