bug_ref,commitID_1,commitID_2,filename,#line_changed
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../org/apache/hadoop/hbase/util/HBaseFsck.java,9
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../java/org/apache/hadoop/hbase/util/HMerge.java,3
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../java/org/apache/hadoop/hbase/util/Merge.java,5
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../TestHColumnDescriptorDefaultVersions.java,4
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../apache/hadoop/hbase/TestTableDescriptor.java,55
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hadoop/hbase/master/TestCatalogJanitor.java,27
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../procedure/MasterProcedureTestingUtility.java,19
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../TestTableDescriptorModificationFromClient.java,5
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hbase/regionserver/TestDefaultMemStore.java,5
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../TestRegionMergeTransactionOnCluster.java,2
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hbase/snapshot/SnapshotTestingUtils.java,7
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hadoop/hbase/util/TestFSTableDescriptors.java,61
HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../apache/hadoop/hbase/util/TestMergeTool.java,6
HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hbase/quotas/AverageIntervalRateLimiter.java,65
HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hbase/quotas/FixedIntervalRateLimiter.java,56
HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../apache/hadoop/hbase/quotas/RateLimiter.java,97
HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hadoop/hbase/quotas/TimeBasedLimiter.java,58
HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hadoop/hbase/quotas/TestRateLimiter.java,108
HBASE-10598,e09d637d7a61a6e636905fa19495fb145c548d81,c6236a57a5,.../org/apache/hadoop/hbase/regionserver/TimeRangeTracker.java,8
HBASE-10569,e44d0d8083e5d4087f1c3a32058daa779c1d3fb,4487333e5e,.../apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,5
