,bug_ref,commitID_1,commitID_2,filename,#line_changed-hist,#line_changed-myers,#line_changed-min,#line_changed-pat
40,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/tmpl/master/MasterStatusTmpl.jamon,4,4,4,4
41,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/regionserver/TestQosFunction.java,5,5,5,5
42,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,hbaseprotocol/src/main/protobuf/HBase.proto,5,5,5,5
43,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/monitoring/StateDumpServlet.java,5,5,5,5
44,HBASE-5209,d69299dfdc44a09c7ac2a6a2c4bfffae4a49a327,145d25dfc2,.../hadoop/hbase/zookeeper/ZooKeeperWatcher.java,5,5,5,5
45,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../TestTableDescriptorModificationFromClient.java,5,5,5,5
46,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/client/TestScannersFromClientSide.java,5,5,5,5
47,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../java/org/apache/hadoop/hbase/util/Merge.java,5,5,5,5
48,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hbase/regionserver/TestDefaultMemStore.java,5,5,5,5
49,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../regionserver/TestEndToEndSplitTransaction.java,5,5,5,5
50,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../security/access/TestAccessController.java,5,5,5,5
51,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../regionserver/HRegionServerCommandLine.java,5,5,5,5
52,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/util/JVMClusterUtil.java,5,5,5,5
53,HBASE-10569,e44d0d8083e5d4087f1c3a32058daa779c1d3fb,4487333e5e,.../apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,5,5,5,5
54,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hadoop/hbase/master/TableStateManager.java,6,6,6,6
55,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../MetricsRegionServerWrapperImpl.java,6,6,6,6
56,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/MasterDumpServlet.java,6,6,6,6
57,HBASE-5209,d69299dfdc44a09c7ac2a6a2c4bfffae4a49a327,145d25dfc2,.../hbase/master/TestActiveMasterManager.java,6,6,6,6
58,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../apache/hadoop/hbase/util/TestMergeTool.java,6,6,6,6
59,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hbase/snapshot/SnapshotTestingUtils.java,7,7,7,7
60,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../regionserver/SimpleRpcSchedulerFactory.java,7,7,7,7
